"C, %",Rs/Rs0
0.0,1.0
0.1,0.99456
0.2,0.98913
0.3,0.98369
0.4,0.9782
0.5,0.97272
0.6,0.96723
0.7,0.96184
0.8,0.95646
0.9,0.95107
1.0,0.94574
1.1,0.94042
1.2,0.93509
1.3,0.93009
1.4,0.92509
1.5,0.92009
1.6,0.91515
1.7,0.91021
1.8,0.90527
1.9,0.90063
2.0,0.896
2.1,0.89136
2.2,0.88673
2.3,0.8821
2.4,0.87747
2.5,0.87293
2.6,0.86839
2.7,0.86385
2.8,0.86006
2.9,0.85627
3.0,0.85248
3.1,0.84831
3.2,0.84413
3.3,0.83996
3.4,0.83593
3.5,0.83189
3.6,0.82786
3.7,0.82334
3.8,0.81882
3.9,0.8143
4.0,0.81005
4.1,0.8058
4.2,0.80155
4.3,0.79723
4.4,0.79292
4.5,0.7886
4.6,0.78367
4.7,0.77873
4.8,0.7738
4.9,0.76866
5.0,0.76353
5.1,0.75839
5.2,0.75413
5.3,0.74986
5.4,0.7456
5.5,0.74171
5.6,0.73783
5.7,0.73394
5.8,0.72923
5.9,0.72451
6.0,0.7198
6.1,0.7153
6.2,0.71079
6.3,0.70629
6.4,0.70224
6.5,0.6982
6.6,0.69415
6.7,0.69004
6.8,0.68594
6.9,0.68183
7.0,0.67755
7.1,0.67328
7.2,0.669
7.3,0.66448
7.4,0.65996
7.5,0.65544
7.6,0.65085
7.7,0.64625
7.8,0.64166
7.9,0.63589
8.0,0.63011
8.1,0.62434
8.2,0.61965
8.3,0.61496
8.4,0.61027
8.5,0.60633
8.6,0.6024
8.7,0.59846
8.8,0.59371
8.9,0.58895
9.0,0.5842
9.1,0.57992
9.2,0.57564
9.3,0.57136
9.4,0.56713
9.5,0.5629
9.6,0.55867
9.7,0.55439
9.8,0.5501
9.9,0.54582
10.0,0.54129
10.1,0.53676
10.2,0.53223
10.3,0.52814
10.4,0.52406
10.5,0.51997
10.6,0.51554
10.7,0.51111
10.8,0.50668
